code,brand,category,shirt_fit,date,metric,metric_type,original_url,local_video,download_status,download_url
V80,Vaucluse,Product demo,Outside vibe,20220613,1743,views,https://www.instagram.com/vauclusestudios/reel/CevUqC3DW1c/,media/CevUqC3DW1c.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CevUqC3DW1c.mp4
V81,Vaucluse,Lifestyle / travel,Adapt concept,20220107,4183,views,https://www.instagram.com/vauclusestudios/reel/CYbJWOCqB71/,media/CYbJWOCqB71.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CYbJWOCqB71.mp4
V82,Vaucluse,Lifestyle / travel,Adapt concept,20211208,1591,views,https://www.instagram.com/vauclusestudios/reel/CXNuJnjDd0k/,media/CXNuJnjDd0k.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CXNuJnjDd0k.mp4
V83,Vaucluse,Lifestyle / travel,Adapt concept,20211129,,views,https://www.instagram.com/vauclusestudios/reel/CW2geyRDwDs/,media/CW2geyRDwDs.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CW2geyRDwDs.mp4
F01,Max Jacobasch,Humour / hook,Outside vibe,,722000,likes,https://www.instagram.com/reels/DctwPe5AJWP/,,URL backup only,
F02,Liad,Shoot BTS,Adapt concept,,8274,likes,https://www.instagram.com/reels/Db9aFPcqAhR/,media/Db9aFPcqAhR.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Db9aFPcqAhR.mp4
F03,Fabia,On-body styling,Adapt concept,,712,likes,https://www.instagram.com/reels/DcE_LnnTyyc/,media/DcE_LnnTyyc.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcE_LnnTyyc.mp4
F04,Claire Désérable,Shoot BTS,Adapt concept,,44,likes,https://www.instagram.com/reels/DdJe8Xaona8/,media/DdJe8Xaona8.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DdJe8Xaona8.mp4
F05,Drukis,Founder / process,Adapt concept,,4931,likes,https://www.instagram.com/reels/Dap8ALfxJGU/,media/Dap8ALfxJGU.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dap8ALfxJGU.mp4
F06,Agnieszka Grobelna,Shoot BTS,Outside vibe,,1717,likes,https://www.instagram.com/reels/DdJGG2Ip2a_/,media/DdJGG2Ip2a_.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DdJGG2Ip2a_.mp4
F07,Nick Rae,Humour / hook,Outside vibe,,244,likes,https://www.instagram.com/reels/DdESM4zybZW/,media/DdESM4zybZW.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DdESM4zybZW.mp4
F08,Bless Knox,Founder / process,Adapt concept,,7544,likes,https://www.instagram.com/reels/DbWrAPERw0j/,media/DbWrAPERw0j.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DbWrAPERw0j.mp4
F09,Benjaminglex,Camera concept,Outside vibe,,994,likes,https://www.instagram.com/reels/Dc1AU_6Nrc5/,media/Dc1AU_6Nrc5.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc1AU_6Nrc5.mp4
F10,Sedjroxx,Fashion concept,Outside vibe,,1500000,likes,https://www.instagram.com/reels/Dc1syqARduN/,media/Dc1syqARduN.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc1syqARduN.mp4
F11,Rakitecht,Product concept,Outside vibe,,,likes,https://www.instagram.com/reels/Dc3rM16N73W/,media/Dc3rM16N73W.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc3rM16N73W.mp4
F12,PRX Vault,Street activation,Outside vibe,,101000,likes,https://www.instagram.com/reels/DcktzqBx81G/,media/DcktzqBx81G.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcktzqBx81G.mp4
F13,Tom Margage,Shoot BTS,Adapt concept,,1833,likes,https://www.instagram.com/reels/Dc7Cok8M6Rd/,media/Dc7Cok8M6Rd.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc7Cok8M6Rd.mp4
F14,Mariam Tsilosani,Creative reveal,Outside vibe,,,likes,https://www.instagram.com/reels/DdBUhtoNTF4/,media/DdBUhtoNTF4.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DdBUhtoNTF4.mp4
F15,Taylah Cunningham,Creative reveal,Adapt concept,,,likes,https://www.instagram.com/reels/Dc3bL0lBP33/,media/Dc3bL0lBP33.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc3bL0lBP33.mp4
F16,Orchid Archive,Founder / process,Adapt concept,,,likes,https://www.instagram.com/reels/DdGLDlNRVlb/,media/DdGLDlNRVlb.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DdGLDlNRVlb.mp4
F17,Bo+Tee / Olivia,Product concept,Outside vibe,,,likes,https://www.instagram.com/reels/Dc1m-qUKZea/,media/Dc1m-qUKZea.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Dc1m-qUKZea.mp4
S01,SHADENESS - شيدنيس,Prop reveal,Adapt concept,20260615,47955,likes,https://www.instagram.com/p/DZndoGIouqH/,media/DZndoGIouqH.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DZndoGIouqH.mp4
S02,FABIA,Product ritual,Strong match,20260818,1133,likes,https://www.instagram.com/p/DcLMoN9xdkm/,media/DcLMoN9xdkm.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcLMoN9xdkm.mp4
S03,Guilherme Cabral,Character styling,Strong match,20260819,21957,likes,https://www.instagram.com/p/DcN6gbqBPZN/,media/DcN6gbqBPZN.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcN6gbqBPZN.mp4
S04,++ NEEKO,Edit transition,Adapt concept,20260815,35906,likes,https://www.instagram.com/p/DcEXW3GRzQ5/,media/DcEXW3GRzQ5.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcEXW3GRzQ5.mp4
S05,SHINZO®,Fashion film,Strong match,20260622,2726,likes,https://www.instagram.com/p/DZ4eShsOl0G/,media/DZ4eShsOl0G.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DZ4eShsOl0G.mp4
S06,Fabletics,Fashion film,Adapt concept,20260616,22233,likes,https://www.instagram.com/p/DZp_L-AJaey/,media/DZp_L-AJaey.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DZp_L-AJaey.mp4
S07,edenwasntready,Founder / process,Strong match,20260531,7379,likes,https://www.instagram.com/p/DZA3op7xJJF/,media/DZA3op7xJJF.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DZA3op7xJJF.mp4
S08,Louis,Founder humour,Adapt concept,20260430,19238,likes,https://www.instagram.com/p/DXvPjs5AOgP/,media/DXvPjs5AOgP.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXvPjs5AOgP.mp4
S09,Maison Suvene,Lifestyle vignette,Strong match,20260427,336,likes,https://www.instagram.com/p/DXo9zhwod1Z/,media/DXo9zhwod1Z.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXo9zhwod1Z.mp4
S10,Paula,Founder humour,Adapt concept,20260503,30046,likes,https://www.instagram.com/p/DX5G5X_t2kI/,media/DX5G5X_t2kI.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DX5G5X_t2kI.mp4
S11,Armando Carreon,Audience prompt,Outside vibe,20260410,3460,likes,https://www.instagram.com/p/DW95OiIDqZJ/,media/DW95OiIDqZJ.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DW95OiIDqZJ.mp4
S12,Veronica Fsa,Character styling,Strong match,20260423,20773,likes,https://www.instagram.com/p/DXe1nnLjAFx/,media/DXe1nnLjAFx.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXe1nnLjAFx.mp4
S13,ogbff_,Founder humour,Adapt concept,20260224,82091,likes,https://www.instagram.com/p/DVJsYglkiU6/,media/DVJsYglkiU6.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DVJsYglkiU6.mp4
S14,Gybird Motors,Prop comedy,Outside vibe,20260324,266,likes,https://www.instagram.com/p/DWQ3O0yDeVx/,media/DWQ3O0yDeVx.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DWQ3O0yDeVx.mp4
S15,Brunx Wear,Outfit transition,Strong match,20260411,13567,likes,https://www.instagram.com/p/DXAfMo_CK_9/,media/DXAfMo_CK_9.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXAfMo_CK_9.mp4
S16,Fabio Niebling,Surprise reveal,Outside vibe,20260417,12758,likes,https://www.instagram.com/p/DXPxUacuXn7/,media/DXPxUacuXn7.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXPxUacuXn7.mp4
S17,Pistacchio pane e caffe,Mock-news skit,Adapt concept,20251216,162590,likes,https://www.instagram.com/p/DSU1uNiABhF/,media/DSU1uNiABhF.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DSU1uNiABhF.mp4
S18,Ryan Rice,Narrative hook,Outside vibe,20260220,394282,likes,https://www.instagram.com/p/DU-hGtyDvCk/,media/DU-hGtyDvCk.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DU-hGtyDvCk.mp4
